question_id,question_text,category,n,percent_valid,percent_total
A1,A1. Bairro onde reside:,Outro,44,34.65,34.65
A1,A1. Bairro onde reside:,Missira,21,16.54,16.54
A1,A1. Bairro onde reside:,Sintra,15,11.81,11.81
A1,A1. Bairro onde reside:,Cuntum Madina,14,11.02,11.02
A1,A1. Bairro onde reside:,B. Ajuda,11,8.66,8.66
A1,A1. Bairro onde reside:,Quelele,8,6.3,6.3
A1,A1. Bairro onde reside:,B. Militar,5,3.94,3.94
A1,A1. Bairro onde reside:,Luanda,4,3.15,3.15
A1,A1. Bairro onde reside:,Pessak,4,3.15,3.15
A1,A1. Bairro onde reside:,Reno,1,0.79,0.79
A2,A2. Associação a que pertence:,Ajuda Mutua,45,35.43,35.43
A2,A2. Associação a que pertence:,Outro,40,31.5,31.5
A2,A2. Associação a que pertence:,Manel água,25,19.69,19.69
A2,A2. Associação a que pertence:,Madina de Volta,14,11.02,11.02
A2,A2. Associação a que pertence:,Edena (La ki nota kumenel),3,2.36,2.36
A3,A3. Escolaridade:,4.ª classe (ensino básico),74,58.27,58.27
A3,A3. Escolaridade:,Nunca frequentou a escola,31,24.41,24.41
A3,A3. Escolaridade:,Ensino básico completo,19,14.96,14.96
A3,A3. Escolaridade:,Ensino superior,3,2.36,2.36
A4,A4. Idade:,Entre 41 ou mais anos,100,78.74,78.74
A4,A4. Idade:,Entre 36 a 40 anos,10,7.87,7.87
A4,A4. Idade:,Entre 26 a 30 anos,8,6.3,6.3
A4,A4. Idade:,Entre 31 a 35 anos,8,6.3,6.3
A4,A4. Idade:,Entre 21 a 25 anos,1,0.79,0.79
A5,A5. Há quantos anos trabalha com horticultura?,35,16,12.6,12.6
A5,A5. Há quantos anos trabalha com horticultura?,40,13,10.24,10.24
A5,A5. Há quantos anos trabalha com horticultura?,20,12,9.45,9.45
A5,A5. Há quantos anos trabalha com horticultura?,30,12,9.45,9.45
A5,A5. Há quantos anos trabalha com horticultura?,15,9,7.09,7.09
A5,A5. Há quantos anos trabalha com horticultura?,25,7,5.51,5.51
A5,A5. Há quantos anos trabalha com horticultura?,3,6,4.72,4.72
A5,A5. Há quantos anos trabalha com horticultura?,5,6,4.72,4.72
A5,A5. Há quantos anos trabalha com horticultura?,10,4,3.15,3.15
A5,A5. Há quantos anos trabalha com horticultura?,4,4,3.15,3.15
A5,A5. Há quantos anos trabalha com horticultura?,45,4,3.15,3.15
A5,A5. Há quantos anos trabalha com horticultura?,12,3,2.36,2.36
A5,A5. Há quantos anos trabalha com horticultura?,13,3,2.36,2.36
A5,A5. Há quantos anos trabalha com horticultura?,2,3,2.36,2.36
A5,A5. Há quantos anos trabalha com horticultura?,7,3,2.36,2.36
A5,A5. Há quantos anos trabalha com horticultura?,14,2,1.57,1.57
A5,A5. Há quantos anos trabalha com horticultura?,16,2,1.57,1.57
A5,A5. Há quantos anos trabalha com horticultura?,27,2,1.57,1.57
A5,A5. Há quantos anos trabalha com horticultura?,32,2,1.57,1.57
A5,A5. Há quantos anos trabalha com horticultura?,33,2,1.57,1.57
A5,A5. Há quantos anos trabalha com horticultura?,11,1,0.79,0.79
A5,A5. Há quantos anos trabalha com horticultura?,17,1,0.79,0.79
A5,A5. Há quantos anos trabalha com horticultura?,18,1,0.79,0.79
A5,A5. Há quantos anos trabalha com horticultura?,19,1,0.79,0.79
A5,A5. Há quantos anos trabalha com horticultura?,24,1,0.79,0.79
A5,A5. Há quantos anos trabalha com horticultura?,26,1,0.79,0.79
A5,A5. Há quantos anos trabalha com horticultura?,37,1,0.79,0.79
A5,A5. Há quantos anos trabalha com horticultura?,41,1,0.79,0.79
