question_id,question_text,option,selected_n,valid_n,percent_valid,percent_total_respondents
B7,B7. Que tipo de culturas hortícolas produz atualmente?,Baguiche,119,127,93.7,93.7
B7,B7. Que tipo de culturas hortícolas produz atualmente?,Alface,118,127,92.91,92.91
B7,B7. Que tipo de culturas hortícolas produz atualmente?,Repolho,115,127,90.55,90.55
B7,B7. Que tipo de culturas hortícolas produz atualmente?,Quiabo,114,127,89.76,89.76
B7,B7. Que tipo de culturas hortícolas produz atualmente?,Beringela,105,127,82.68,82.68
B7,B7. Que tipo de culturas hortícolas produz atualmente?,Beterraba,102,127,80.31,80.31
B7,B7. Que tipo de culturas hortícolas produz atualmente?,Couve,102,127,80.31,80.31
B7,B7. Que tipo de culturas hortícolas produz atualmente?,Malagueta,96,108,88.89,75.59
B7,B7. Que tipo de culturas hortícolas produz atualmente?,Nabo,92,127,72.44,72.44
B7,B7. Que tipo de culturas hortícolas produz atualmente?,Pimento,77,127,60.63,60.63
B7,B7. Que tipo de culturas hortícolas produz atualmente?,Cebola,65,127,51.18,51.18
B7,B7. Que tipo de culturas hortícolas produz atualmente?,Tomate,60,127,47.24,47.24
B7,B7. Que tipo de culturas hortícolas produz atualmente?,Cenoura,58,127,45.67,45.67
B7,B7. Que tipo de culturas hortícolas produz atualmente?,Outro,45,108,41.67,35.43
B7,B7. Que tipo de culturas hortícolas produz atualmente?,Suculibembem,43,127,33.86,33.86
B7,B7. Que tipo de culturas hortícolas produz atualmente?,Salsa,40,46,86.96,31.5
B7,B7. Que tipo de culturas hortícolas produz atualmente?,Alho francês,38,127,29.92,29.92
B12,B12. Quais os principais pesticidas que utiliza?,Inseticidas,125,127,98.43,98.43
B12,B12. Quais os principais pesticidas que utiliza?,Outros,2,127,1.57,1.57
B12,B12. Quais os principais pesticidas que utiliza?,Fungicidas,0,127,0.0,0.0
B12,B12. Quais os principais pesticidas que utiliza?,Herbicidas,0,127,0.0,0.0
B19.1,B19.1. Se resposta for “Sim” que tipo de produto natural?,Folhas e frutos de Cássia pilados com água,110,115,95.65,86.61
B19.1,B19.1. Se resposta for “Sim” que tipo de produto natural?,Moringa,92,109,84.4,72.44
B19.1,B19.1. Se resposta for “Sim” que tipo de produto natural?,Água com sabão e malagueta,91,115,79.13,71.65
B19.1,B19.1. Se resposta for “Sim” que tipo de produto natural?,Água com sabão e tabaco,63,115,54.78,49.61
B19.1,B19.1. Se resposta for “Sim” que tipo de produto natural?,Cinza,4,115,3.48,3.15
B21,B21. Qual é a finalidade do dinheiro que você ganha na venda do seus produtos hortícolas ?,Para alimentação da família,38,39,97.44,29.92
B21,B21. Qual é a finalidade do dinheiro que você ganha na venda do seus produtos hortícolas ?,Para o pagamento da educação dos filhos,38,39,97.44,29.92
B21,B21. Qual é a finalidade do dinheiro que você ganha na venda do seus produtos hortícolas ?,Para as cerimónias,17,39,43.59,13.39
B21,B21. Qual é a finalidade do dinheiro que você ganha na venda do seus produtos hortícolas ?,outro,12,39,30.77,9.45
