question_id,question_order,block,app_section,objective,question_text,variable_type,default_chart,n_variables,variables,options
A1,A.1.0.0.,Caracterizacao pessoal,Caracterização da amostra,Caracterizar a amostra,A1. Bairro onde reside:,single_choice_or_text,bar,1,['a1_bairro'],[]
A2,A.2.0.0.,Caracterizacao pessoal,Caracterização da amostra,Caracterizar a amostra,A2. Associação a que pertence:,single_choice_or_text,bar,1,['a2_associacao'],[]
A3,A.3.0.0.,Caracterizacao pessoal,Caracterização da amostra,Caracterizar a amostra,A3. Escolaridade:,single_choice_or_text,bar,1,['a3_escolaridade'],[]
A4,A.4.0.0.,Caracterizacao pessoal,Caracterização da amostra,Caracterizar a amostra,A4. Idade:,single_choice_or_text,bar,1,['a4_idade'],[]
A5,A.5.0.0.,Caracterizacao pessoal,Caracterização da amostra,Caracterizar a amostra,A5. Há quantos anos trabalha com horticultura?,single_choice_or_text,bar,1,['a5_anos_horticultura'],[]
A6,A.6.0.0.,Caracterizacao pessoal,Caracterização da amostra,Caracterizar a amostra,A6. Já recebeu alguma formação sobre o uso de pesticida?,single_choice_or_text,bar,1,['a6_formacao_pesticidas'],[]
A6a,A.6.0.0.a,Caracterizacao pessoal,Caracterização da amostra,Caracterizar a amostra,"A6a. Se sim, quem ministrou a formação",single_choice_or_text,bar,1,['a6a_quem_ministrou_formacao'],[]
B7,B.7.0.0.,Praticas horticolas e uso de pesticidas,Práticas hortícolas,Identificar práticas hortícolas associadas ao uso de pesticidas,B7. Que tipo de culturas hortícolas produz atualmente?,multiple_choice,horizontal_bar,17,"['b7_culturas__alface', 'b7_culturas__repolho', 'b7_culturas__couve', 'b7_culturas__tomate', 'b7_culturas__quiabo', 'b7_culturas__beterraba', 'b7_culturas__beringela', 'b7_culturas__suculibembem', 'b7_culturas__nabo', 'b7_culturas__cenoura', 'b7_culturas__pimento', 'b7_culturas__cebola', 'b7_culturas__baguiche', 'b7_culturas__alho_frances', 'b7_culturas__malagueta', 'b7_culturas__outro', 'b7_culturas__salsa']","['Alface', 'Repolho', 'Couve', 'Tomate', 'Quiabo', 'Beterraba', 'Beringela', 'Suculibembem', 'Nabo', 'Cenoura', 'Pimento', 'Cebola', 'Baguiche', 'Alho francês', 'Malagueta', 'Outro', 'Salsa']"
B8,B.8.0.0.,Praticas horticolas e uso de pesticidas,Práticas hortícolas,Identificar práticas hortícolas associadas ao uso de pesticidas,B8. Em cada canteiro coloca só uma cultura ou mistura várias?,single_choice_or_text,bar,1,['b8_organizacao_canteiro'],[]
B9,B.9.0.0.,Praticas horticolas e uso de pesticidas,Práticas hortícolas,Identificar práticas hortícolas associadas ao uso de pesticidas,B9. Costuma fazer rotação de culturas de um ano para outro?,single_choice_or_text,bar,1,['b9_rotacao_culturas'],[]
B10,B.10.0.0.,Praticas horticolas e uso de pesticidas,Práticas hortícolas,Identificar práticas hortícolas associadas ao uso de pesticidas,B10. Conheces pesticidas?,single_choice_or_text,bar,1,['b10_conhece_pesticidas'],[]
B11,B.11.0.0.,Praticas horticolas e uso de pesticidas,Práticas hortícolas,Identificar práticas hortícolas associadas ao uso de pesticidas,B11. Utiliza ou chegou de utilizar pesticidas na sua produção?,single_choice_or_text,bar,1,['b11_usa_pesticidas'],[]
B12,B.12.0.0.,Praticas horticolas e uso de pesticidas,Práticas hortícolas,Identificar práticas hortícolas associadas ao uso de pesticidas,B12. Quais os principais pesticidas que utiliza?,multiple_choice,horizontal_bar,4,"['b12_tipos_pesticidas__inseticidas', 'b12_tipos_pesticidas__herbicidas', 'b12_tipos_pesticidas__fungicidas', 'b12_tipos_pesticidas__outros']","['Inseticidas', 'Herbicidas', 'Fungicidas', 'Outros']"
B13,B.13.0.0.,Praticas horticolas e uso de pesticidas,Práticas hortícolas,Identificar práticas hortícolas associadas ao uso de pesticidas,B13. Onde compra os pesticidas?,single_choice_or_text,bar,1,['b13_local_compra_pesticidas'],[]
B14,B.14.0.0.,Praticas horticolas e uso de pesticidas,Práticas hortícolas,Identificar práticas hortícolas associadas ao uso de pesticidas,B14. Quando usa os pesticidas?,single_choice_or_text,bar,1,['b14_momento_uso_pesticidas'],[]
B15,B.15.0.0.,Praticas horticolas e uso de pesticidas,Práticas hortícolas,Identificar práticas hortícolas associadas ao uso de pesticidas,B15. Durante quanto tempo aplica o pesticida em cada época de produção?,single_choice_or_text,bar,1,['b15_duracao_aplicacao'],[]
B16,B.16.0.0.,Praticas horticolas e uso de pesticidas,Práticas hortícolas,Identificar práticas hortícolas associadas ao uso de pesticidas,B16. Com que frequência aplica o pesticida?,single_choice_or_text,bar,1,['b16_frequencia_aplicacao'],[]
B17,B.17.0.0.,Praticas horticolas e uso de pesticidas,Práticas hortícolas,Identificar práticas hortícolas associadas ao uso de pesticidas,B17. Quais os critérios que utiliza para escolher os pesticidas?,single_choice_or_text,bar,1,['b17_criterios_escolha_pesticidas'],[]
B18,B.18.0.0.,Praticas horticolas e uso de pesticidas,Práticas hortícolas,Identificar práticas hortícolas associadas ao uso de pesticidas,B18. Usa na hortaliça pesticidas de outras culturas?,single_choice_or_text,bar,1,['b18_usa_pesticidas_outras_culturas'],[]
B19,B.19.0.0.,Praticas horticolas e uso de pesticidas,Práticas hortícolas,Identificar práticas hortícolas associadas ao uso de pesticidas,"B19. Quando alguma planta tem infestação da praga, já alguma vez usou produtos naturais para combater?",single_choice_or_text,bar,1,['b19_usa_produtos_naturais'],[]
B19.1,B.19.1.0.,Praticas horticolas e uso de pesticidas,Práticas hortícolas,Identificar práticas hortícolas associadas ao uso de pesticidas,B19.1. Se resposta for “Sim” que tipo de produto natural?,multiple_choice,horizontal_bar,5,"['b19_1_tipos_produtos_naturais__cinza', 'b19_1_tipos_produtos_naturais__agua_com_sabao_e_malagueta', 'b19_1_tipos_produtos_naturais__agua_com_sabao_e_tabaco', 'b19_1_tipos_produtos_naturais__folhas_e_frutos_de_cassia_pilados_com_agua', 'b19_1_tipos_produtos_naturais__moringa']","['Cinza', 'Água com sabão e malagueta', 'Água com sabão e tabaco', 'Folhas e frutos de Cássia pilados com água', 'Moringa']"
B19.2,B.19.2.0.,Praticas horticolas e uso de pesticidas,Práticas hortícolas,Identificar práticas hortícolas associadas ao uso de pesticidas,B19.2. Quem lhe ensinou?,single_choice_or_text,bar,1,['b19_2_quem_ensinou_produtos_naturais'],[]
B19.3,B.19.3.0.,Praticas horticolas e uso de pesticidas,Práticas hortícolas,Identificar práticas hortícolas associadas ao uso de pesticidas,"B19.3. Em caso afirmativo, acha que é eficaz a controlar essas pragas usando produtos naturais?",single_choice_or_text,bar,1,['b19_3_eficacia_produtos_naturais'],[]
B20,B.20.0.0.,Praticas horticolas e uso de pesticidas,Práticas hortícolas,Identificar práticas hortícolas associadas ao uso de pesticidas,B20. Acha possível fazer agricultura sem o uso de pesticidas química?,single_choice_or_text,bar,1,['b20_agricultura_sem_pesticidas_quimicos'],[]
B21,B.21.0.0.,Praticas horticolas e uso de pesticidas,Práticas hortícolas,Identificar práticas hortícolas associadas ao uso de pesticidas,B21. Qual é a finalidade do dinheiro que você ganha na venda do seus produtos hortícolas ?,multiple_choice,horizontal_bar,6,"['b21_finalidade_dinheiro__para_alimentacao_da_familia', 'b21_finalidade_dinheiro__para_o_pagamento_da_educacao_dos_filhos', 'b21_finalidade_dinheiro__para_as_cerimonias', 'b21_finalidade_dinheiro__para_a_minha_propria_formacao', 'b21_finalidade_dinheiro__para_o_pagamento_da_renda', 'b21_finalidade_dinheiro__outro']","['Para alimentação da família', 'Para o pagamento da educação dos filhos', 'Para as cerimónias', 'Para a minha própria formação', 'Para o pagamento da renda', 'outro']"
C21,C.21.0.0.,Conhecimento sobre seguranca,Conhecimento e segurança,Averiguar conhecimentos sobre medidas de segurança,C21. Conhece as regras de segurança sobre uso correto de pesticidas?,single_choice_or_text,bar,1,['c21_conhece_regras_seguranca'],[]
C21a,C.21.0.0.a,Conhecimento sobre seguranca,Conhecimento e segurança,Averiguar conhecimentos sobre medidas de segurança,"C21a. Se Sim, quem te contou?",single_choice_or_text,bar,1,['c21a_fonte_regras_seguranca'],[]
C22,C.22.0.0.,Conhecimento sobre seguranca,Conhecimento e segurança,Averiguar conhecimentos sobre medidas de segurança,C22. Sabe que alguns pesticidas são proibidos ou têm uso restrito?,single_choice_or_text,bar,1,['c22_conhece_pesticidas_proibidos_restritos'],[]
C22.1,C.22.1.0.,Conhecimento sobre seguranca,Conhecimento e segurança,Averiguar conhecimentos sobre medidas de segurança,"C22.1. Se Sim, sabe quais são esses pesticidas?",single_choice_or_text,bar,1,['c22_1_sabe_quais_pesticidas_proibidos'],[]
C22.2,C.22.2.0.,Conhecimento sobre seguranca,Conhecimento e segurança,Averiguar conhecimentos sobre medidas de segurança,"C22.2. Na sua opinião, por que razão alguns pesticidas são proibidos ou restringidos?",single_choice_or_text,bar,1,['c22_2_razao_pesticidas_proibidos_restritos'],[]
C23,C.23.0.0.,Conhecimento sobre seguranca,Conhecimento e segurança,Averiguar conhecimentos sobre medidas de segurança,C23. Quem aplica pesticidas na sua horta?,multiple_choice,horizontal_bar,5,"['c23_aplicador_pesticidas__eu_mesmo', 'c23_aplicador_pesticidas__meus_colegas', 'c23_aplicador_pesticidas__algum_familiar', 'c23_aplicador_pesticidas__tecnicos_de_agricultura', 'c23_aplicador_pesticidas__outro']","['Eu mesmo', 'Meus colegas', 'Algum familiar', 'Técnicos de agricultura', 'Outro']"
C24,C.24.0.0.,Conhecimento sobre seguranca,Conhecimento e segurança,Averiguar conhecimentos sobre medidas de segurança,"C24. Costuma ler, compreender e seguir as instruções dos rótulos dos pesticidas?",single_choice_or_text,bar,1,['c24_le_rotulos'],[]
C24.1,C.24.1.0.,Conhecimento sobre seguranca,Conhecimento e segurança,Averiguar conhecimentos sobre medidas de segurança,"C24.1. Se a resposta for “Não”, perguntar porquê:",single_choice_or_text,bar,1,['c24_1_porque_nao_le_rotulos'],[]
