respondent_id,a1_bairro,a2_associacao,a3_escolaridade,a4_idade,a5_anos_horticultura,a6_formacao_pesticidas,a6a_quem_ministrou_formacao,b7_culturas,b8_organizacao_canteiro,b9_rotacao_culturas,b10_conhece_pesticidas,b11_usa_pesticidas,b12_tipos_pesticidas,b13_local_compra_pesticidas,b14_momento_uso_pesticidas,b15_duracao_aplicacao,b16_frequencia_aplicacao,b17_criterios_escolha_pesticidas,b18_usa_pesticidas_outras_culturas,b19_usa_produtos_naturais,b19_1_tipos_produtos_naturais,b19_2_quem_ensinou_produtos_naturais,b19_3_eficacia_produtos_naturais,b20_agricultura_sem_pesticidas_quimicos,b21_finalidade_dinheiro,c21_conhece_regras_seguranca,c21a_fonte_regras_seguranca,c22_conhece_pesticidas_proibidos_restritos,c22_1_sabe_quais_pesticidas_proibidos,c22_2_razao_pesticidas_proibidos_restritos,c23_aplicador_pesticidas,c24_le_rotulos,c24_1_porque_nao_le_rotulos,c25_armazenamento_pesticidas,c26_local_preparo_solucao,c27_reutiliza_recipientes,c28_destino_sobras_pesticidas,c29_destino_pesticidas_vencidos,c30_destino_embalagens_vazias,c31_usa_epi,c31_1_frequencia_uso_epi,d32_percepcao_impacto_saude,d32_1_sintomas_apos_aplicacao,d32_2_sintomas_sentidos,d33_percepcao_impacto_ambiente,d33_1_impactos_ambientais_percebidos,d33_2_razoes_continuar_usando_pesticidas,e34_quer_mais_formacao,e34_1_temas_formacao,e35_formas_sensibilizacao,derived_experiencia_grupo,derived_idade_grupo,derived_percepcao_saude_bin,derived_percepcao_ambiente_bin
R001,Missira,Ajuda Mutua,Ensino básico completo,Entre 41 ou mais anos,30,Sim,Pessoal de Proteção Vegetal,Alface Repolho Beterraba Pimento Couve Tomate Quiabo Beringela Suculibembem Nabo Cenoura Cebola Baguiche,Várias,Sim,Sim,Sim,Inseticidas,No mercado,Quando começa a ver algumas pragas,Enquanto à pragas,Semanalmente,Recomendação de colegas,Não,Sim,Folhas e frutos de Cássia pilados com água,Projeto Nicap,Não,Sim,,Não,,Sim,,,Eu mesmo,Não,Não entendo porque não está em português,"No campo, ao ar livre",No campo,Não,Descarta no campo,Descarta no campo,Queima,Não,,Sim,Sim,Dores de cabeça,Sim,Contaminação da água Contaminação do solo Morte dos insetos úteis,Falta de conhecimento,Sim,Uso correto dos pesticidas Proteção da saúde Alternativas aos pesticidas químicos Proteção do ambiente,Seminário em sala Formação prática no campo,Mais de 20 anos,Entre 41 ou mais anos,Sim,Sim
R002,Missira,Ajuda Mutua,Ensino superior,Entre 36 a 40 anos,6,Sim,"PNUD, Micap",Alface Couve Repolho Suculibembem Baguiche Beterraba Outros Pimento,Várias,Sim,Sim,Sim,Inseticidas,No mercado,Antes das pragas começarem a atacar,Apenas uma vez,Mensalmente,Recomendação de colegas,Não,Sim,Folhas e frutos de Cássia pilados com água Água com sabão e tabaco Água com sabão e malagueta,"Micat, Subsaid, Pnud",Sim,Sim,,Sim,Experiência,Sim,Não,São muito tóxicos,Eu mesmo,Não,Não entendo porque não está em português,"No campo, ao ar livre",No campo,Não,Aplica noutras culturas,Continua a utilizá-los,Deita no campo,Não,,Sim,Sim,Dores de cabeça,Sim,Contaminação do solo Contaminação da água,Falta de conhecimento,Sim,Proteção da saúde Proteção do ambiente Uso correto dos pesticidas,Campanhas de rádio ou TV Formação prática no campo,6-10 anos,Entre 36 a 40 anos,Sim,Sim
R003,Outro,Ajuda Mutua,Ensino básico completo,Entre 41 ou mais anos,4,Não,,Alface Repolho Beterraba Couve Cebola Baguiche Suculibembem Beringela Cenoura Nabo Pimento Outros Quiabo Tomate,Várias,Sim,Sim,Sim,Inseticidas,No mercado,Quando a planta tem muitas pragas,Enquanto à pragas,Semanalmente,Recomendação de colegas,Não,Sim,Folhas e frutos de Cássia pilados com água,PNUD,Sim,Sim,,Não,,Sim,,,Meus colegas,Não,Outro,"No campo, ao ar livre",No campo,Não,Descarta no campo,Descarta no campo,Deita no campo,Não,,Sim,Não,,Sim,Contaminação do solo Contaminação da água,Falta de conhecimento,Sim,Proteção da saúde,Seminário em sala,0-5 anos,Entre 41 ou mais anos,Sim,Sim
R004,Missira,Ajuda Mutua,4.ª classe (ensino básico),Entre 31 a 35 anos,5,Sim,PNUD,Alface Repolho Couve Pimento Cebola Baguiche Quiabo Beterraba Suculibembem Beringela,Várias,Sim,Sim,Sim,Inseticidas,No mercado,Antes das pragas começarem a atacar,Enquanto à pragas,Semanalmente,Recomendação de colegas,Não,Sim,Folhas e frutos de Cássia pilados com água Água com sabão e malagueta,PNUD,Sim,Sim,,Não,,Sim,,,Algum familiar,Não,Não entendo porque não está em português,"No campo, ao ar livre",No campo,Não,Descarta no campo,Descarta no campo,Deita no campo,Não,,Sim,Sim,Irritação na pele ou nos olhos,Não sabe,,,Sim,Proteção da saúde,Formação prática no campo,0-5 anos,Entre 31 a 35 anos,Sim,Não/Não sabe
R005,Outro,Ajuda Mutua,4.ª classe (ensino básico),Entre 41 ou mais anos,40,Sim,Subsaid,Alface Repolho Couve Tomate Quiabo Beterraba Beringela Suculibembem Nabo Cenoura Pimento Cebola Baguiche Outros,Várias,Sim,Sim,Sim,Inseticidas,No mercado,Antes das pragas começarem a atacar,Enquanto à pragas,Semanalmente,Recomendação de colegas,Não,Sim,Folhas e frutos de Cássia pilados com água,"Subsaid, Pnud,Micat",Sim,Sim,,Não,,Sim,,,Meus colegas,Não,Não entendo porque não está em português,"No campo, ao ar livre",No campo,Não,Descarta no campo,Descarta no campo,Deita no campo,Não,,Sim,Sim,Dores de cabeça Irritação na pele ou nos olhos Tonturas Dificuldade respiratória,Sim,Contaminação do solo Contaminação da água,Falta de conhecimento,Sim,Proteção da saúde,Formação prática no campo Campanhas de rádio ou TV,Mais de 20 anos,Entre 41 ou mais anos,Sim,Sim
R006,Missira,Ajuda Mutua,Nunca frequentou a escola,Entre 41 ou mais anos,24,Sim,PNUD,Alface Suculibembem Repolho Cenoura Quiabo Cebola Couve,Várias,Sim,Sim,Sim,Inseticidas,No mercado,Quando começa a ver algumas pragas,Enquanto à pragas,Semanalmente,Recomendação de colegas,Não,Sim,Folhas e frutos de Cássia pilados com água,PNUD,Não,Não,,Não,,Sim,,,Meus colegas,Não,Outro,"No campo, ao ar livre",No campo,Não,Descarta no campo,Continua a utilizá-los,Queima Enterra,Não,,Sim,Sim,Irritação na pele ou nos olhos Dores de cabeça,Sim,Contaminação do solo Contaminação da água,Falta de conhecimento,Sim,Proteção da saúde Proteção do ambiente,Campanhas de rádio ou TV Formação prática no campo,Mais de 20 anos,Entre 41 ou mais anos,Sim,Sim
R007,Outro,Ajuda Mutua,Ensino básico completo,Entre 41 ou mais anos,30,Sim,"PNUD, Micap",Alface Repolho Couve Beterraba Tomate Beringela Baguiche,Várias,Sim,Sim,Sim,Inseticidas,Outro,Antes das pragas começarem a atacar,Enquanto à pragas,Semanalmente,Recomendação de vendedores,Não,Sim,Folhas e frutos de Cássia pilados com água Moringa Água com sabão e malagueta Água com sabão e tabaco,Micat,Sim,Sim,,Não,,Não,,,Eu mesmo,Não,Não entendo porque não está em português,"No campo, ao ar livre",No campo,Não,Aplica noutras culturas,Continua a utilizá-los,Deita no campo,Não,,Sim,Sim,Dificuldade respiratória Dores de cabeça Náuseas/vómitos,Sim,Contaminação do solo Contaminação da água,Falta de conhecimento Falta de alternativas,Sim,Uso correto dos pesticidas Proteção da saúde,Seminário em sala,Mais de 20 anos,Entre 41 ou mais anos,Sim,Sim
R008,Outro,Ajuda Mutua,4.ª classe (ensino básico),Entre 41 ou mais anos,40,Sim,Proteção Vegetal,Alface Repolho Couve Quiabo Baguiche Beterraba Beringela Pimento,Várias,Sim,Sim,Sim,Inseticidas,No mercado,Antes das pragas começarem a atacar,Enquanto à pragas,Semanalmente,Recomendação de colegas,Não,Sim,Água com sabão e malagueta Água com sabão e tabaco Folhas e frutos de Cássia pilados com água Moringa,Pessoal de Proteção Vegetal,Sim,Sim,,Não,,Sim,Sim,São muito tóxicos,Eu mesmo,Não,Não entendo porque não está em português,"No campo, ao ar livre",No campo,Não,Descarta no campo,Continua a utilizá-los,Deita no campo,Não,,Sim,Sim,Dores de cabeça Irritação na pele ou nos olhos Tonturas,Sim,Contaminação da água Contaminação do solo,Falta de conhecimento Falta de alternativas,Sim,Uso correto dos pesticidas Proteção da saúde,Seminário em sala Formação prática no campo,Mais de 20 anos,Entre 41 ou mais anos,Sim,Sim
R009,Missira,Ajuda Mutua,4.ª classe (ensino básico),Entre 41 ou mais anos,30,Não,,Alface Repolho Baguiche Quiabo Suculibembem Beringela Cebola Cenoura,Várias,Sim,Sim,Sim,Inseticidas,No mercado,Quando começa a ver algumas pragas,Enquanto à pragas,Semanalmente,Recomendação de colegas,Não,Sim,Moringa Folhas e frutos de Cássia pilados com água Água com sabão e malagueta,Através de colegas,Sim,Sim,,Não,,Não,,,Técnicos de agricultura,Não,Não entendo porque não está em português,"No campo, ao ar livre",No campo,Não,Aplica noutras culturas,Continua a utilizá-los,Deita no campo Enterra,Não,,Sim,Não,,Não sabe,,,Sim,Proteção da saúde Uso correto dos pesticidas,Seminário em sala Formação prática no campo,Mais de 20 anos,Entre 41 ou mais anos,Sim,Não/Não sabe
R010,Missira,Ajuda Mutua,Ensino básico completo,Entre 36 a 40 anos,14,Sim,IANDA GUINÉ,Alface Repolho Couve Baguiche Tomate Cebola Pimento Cenoura Nabo Suculibembem Beringela Beterraba Quiabo,Várias,Sim,Sim,Sim,Inseticidas,No mercado,Antes das pragas começarem a atacar,Enquanto à pragas,Quinzenalmente,Recomendação de vendedores,Não,Sim,Moringa Folhas e frutos de Cássia pilados com água Água com sabão e tabaco Água com sabão e malagueta Cinza,IANDA GUINÉ,Sim,Sim,,Sim,Experiência própria,Não,,,Técnicos de agricultura,Não,Não entendo porque não está em português,"No campo, ao ar livre",No campo,Não,Mistura apenas a quantidade necessária,Continua a utilizá-los,Deita no campo,Não,,Sim,Não,,Sim,Contaminação do solo Contaminação da água Morte dos insetos úteis,Falta de conhecimento,Sim,Uso correto dos pesticidas Proteção da saúde Alternativas aos pesticidas químicos Proteção do ambiente,Formação prática no campo,11-20 anos,Entre 36 a 40 anos,Sim,Sim
